Bundle_ID	Bundle_Items	Outlier_Item	Ground_Truth	Predicted_Best	Hit	Best_Score
1235	187573 115386 468 101667	235222	110448	218364	False	0.8489
215	175829 153294 176619 237233 90514 226008	90843	28542	141572	False	0.6970
40	141651 176492 98121	34499	52685	90518	False	0.7689
1416	90843 69208	5491	11115	237161	False	0.5995
520	37926 22036 71521 236602	17583	236601	64395	False	0.7844
456	113117 161496 187263	76481	121443	237130	False	0.6372
418	30046 905 101488 156517 153359 104278 167868 199231 220137	94857	16699	114147	False	0.5726
267	237402 237401 61256 237400 134585 237399 222375 147722	110085	223283	127811	False	0.6265
1408	214283 181890	70621	191387	79253	False	0.9335
192	210346 10092 27758 1231	225453	10291	85199	False	0.6604
1301	171115 157207 230651	99287	36549	216610	False	0.5622
1412	187432 102670 142688	30798	8786	33945	False	0.6832
1746	162489 198610 13580 152393 208064 36324 144133	181814	52481	161482	False	0.6941
1052	150216 74298 194919	57932	83735	16009	False	0.6778
163	8638 22154 139301 233332	237106	17767	164131	False	0.5562
1138	75961 8711 236760	65604	102958	236577	False	0.6455
814	236403 166350	230510	147893	48085	False	0.7815
52	107780 237281 97824 110171 117365 26433 45498 149996 64119	83828	41793	203327	False	0.5909
48	237660 237659 214787 130623	208763	86286	28100	False	0.7238
174	236585 45949 77303 3316 6161 34470	12964	236586	236411	False	0.5392
405	155851 76091 193018 102108 177008	6128	236526	69570	False	0.5023
432	107150 70594 237599	212501	237597	73806	False	0.7637
973	44925 174 236806 109497 194336 52357 236807 44644 162860	111198	236808	237367	False	0.5237
1162	105964 113841 44368 216610 89873 5786 148803	206029	37242	168129	False	0.7292
44	168037 129779	7213	27690	236657	False	0.6360
1088	236757 192201	204947	236756	92290	False	0.6332
373	57781 12364	93177	123041	182786	False	0.7468
1376	236668 82279 31933 236667 236666 236665 236664	237186	236663	43086	False	0.6573
1260	157526 152002	226235	62360	226217	False	0.6535
1345	22036 131794 52228	16839	46942	198361	False	0.6578
1879	156160 180992 184101	202482	167901	237601	False	0.6111
810	178600 23116 197821 8986 71717 9302 122197	134793	57419	26607	False	0.6373
408	53544 127385 93285 236853 116426	190208	118953	11409	False	0.5575
873	13470 5074	186347	42980	236993	False	0.7699
1137	132664 194336 99415 76864 138546 5352 13963 103253 151945	71731	158951	236871	False	0.6561
529	62061 218669 158198 219177 180993	236855	36788	236783	False	0.7652
1564	101515 98570	112973	6132	142351	False	0.5341
1706	211247 49954 119615	67669	158831	237045	False	0.6482
9	53654 237540 193630	90514	237538	43543	False	0.5814
1452	96736 48369	188100	187159	48090	False	0.9351
1561	169137 82662	204329	145954	236539	False	0.6240
310	101452 222928 157581	179737	233889	145717	False	0.5913
1338	153349 236514 162987 236515 222768	236451	152768	51070	False	0.8685
1874	83489 15077 204840 118621 1344	236443	177658	219819	False	0.6355
650	101882 46787	75246	230476	217482	False	0.7359
1833	165485 119990	88272	2741	127338	False	0.7354
303	236494 236493	216603	21596	53748	False	0.8059
401	230946 86278 237254	236782	127661	68847	False	0.7186
1464	75464 165620	237521	87650	153806	False	0.7851
645	237288 45812	232208	18329	185112	False	0.5342
1888	121240 193721	119467	104337	237238	False	0.6489
173	110894 139640 42381	140264	134504	93177	False	0.5831
721	1344 151271 152905	143150	227301	138037	False	0.5758
180	177463 225372 237044 145173 237045 237046	192161	103135	236921	False	0.8409
685	47424 236542 200968 155410 236543	148167	133180	188220	False	0.5766
1657	115598 209787 237077 237078 189408 212846	236821	237079	189693	False	0.5428
658	224664 43733 218629 190541	104994	125979	27936	False	0.8439
1166	44649 6413 236508	236519	121650	7843	False	0.5056
498	58633 237209 194628 72151	125833	237208	237611	False	0.7635
1562	68124 36717	210890	57027	136819	False	0.7619
77	173305 183073 234631 34719 118621 166491 87291 68343 33789	98121	95030	198272	False	0.5879
1400	164126 2327 173593 84610 27346 19248	118789	116047	214633	False	0.6667
892	173419 137032 184314	223505	249	37922	False	0.6155
1032	197666 56609 203598	236672	117957	117957	True	0.2209
236	206468 236954 14112	70594	187813	70825	False	0.5763
717	80649 85822 237141	97320	237140	111766	False	0.7929
151	133067 145997 127785 194438 1736	39777	232815	174602	False	0.6714
1069	98153 12869	226250	84671	80243	False	0.7525
559	214409 237656 237655 237654 36680 207361	237094	64840	225372	False	0.6217
1613	237587 237586 237585 237584 237583 237582 237581	237205	237580	44834	False	0.5338
1215	236396 119152	237542	183323	13626	False	0.5971
1191	236964 219361 185500 92574	179737	236965	43237	False	0.6950
1737	152445 159548 29981 120600	108104	83667	25528	False	0.7118
1691	129200 177655 17783 114756	85713	147547	163736	False	0.8037
688	199339 92945 95658	172359	237139	28601	False	0.8046
1122	171414 237131 219880	1039	80376	34664	False	0.7516
362	206577 177372	68343	210645	99560	False	0.2484
1352	187846 142582 129744	236958	68343	237101	False	0.7524
134	210283 96674	160201	137094	9138	False	0.8206
79	136854 194779	228559	151750	236512	False	0.8525
1278	236971 236970	150045	236969	11409	False	0.6572
424	22036 47839 106464 163314 173302 236599	236891	13211	200985	False	0.5951
1481	236447 108290 236446	236415	881	74263	False	0.6050
554	185464 57290 223703 177880 150171	134797	237003	193130	False	0.6820
152	237572 192407 170824	141960	230114	35210	False	0.5548
1683	174668 175400	180325	74505	19851	False	0.7355
1860	237642 37406 237640	87109	105459	237319	False	0.4707
1700	58124 236411 236412	137826	236413	123511	False	0.7592
191	60858 187845	35142	23414	208562	False	0.5492
1808	70407 49095 79775	28105	223487	39733	False	0.6374
1819	129034 237030 86370 18468 125475	1078	164108	214963	False	0.7876
880	80956 5271 4364 99569	211804	119868	202052	False	0.5254
1231	211537 112068 131054	159467	236617	210346	False	0.5516
1629	129589 53236 53076 236566 112227	152445	61648	51441	False	0.6498
693	208562 218097	35293	174522	141339	False	0.6500
313	73153 236990 19609 141120 236991	236585	102553	8755	False	0.8010
707	132868 181933	216679	236890	74886	False	0.4771
677	171305 225261 143201 42800 35137 189132 108522	152445	116468	41093	False	0.6111
391	115099 232208 236600 120072 96904 124556	141120	116725	152393	False	0.6551
1293	182559 201927	207361	236960	8149	False	0.5144
503	34088 236845	5081	197862	187907	False	0.7181
1846	212660 60061 43694	33887	185686	143150	False	0.7050
1309	22778 44870	237571	101044	213691	False	0.5219
1255	65438 5491 190079	237508	148858	173017	False	0.8323
137	16839 235913 19208 166472 54252 236720 236721 121695	218629	108080	19324	False	0.6249
1171	85351 180369	124166	194349	156592	False	0.7593
1769	237480 170154 147898	55477	237479	84617	False	0.6723
325	233111 170481 114711	110450	150086	64099	False	0.5567
1028	226969 124556 130168 103603	237139	130504	153278	False	0.1606
1398	213910 171176 236452 236453	127221	236454	178276	False	0.6808
1894	18122 198418 71058 189512 190848 87107 126140 79116 157803	236940	193397	216297	False	0.6354
315	141120 236990	237246	73153	30608	False	0.9070
896	117546 237087	125471	117141	41093	False	0.6526
718	80649 85822 237141	236615	237140	236792	False	0.7269
509	237637 23842	17160	58412	237328	False	0.7306
1239	219440 237356 129014	127565	212716	70594	False	0.5795
1322	210573 86640	236441	236672	68594	False	0.7869
1081	236861 236862	217255	236863	237589	False	0.7614
406	127385 93285	2227	116426	163566	False	0.7801
1311	22778 224478	180314	101044	237331	False	0.6689
620	25634 178679 185006 190220	201702	91868	26319	False	0.7813
1641	236466 172511	158222	236465	216785	False	0.6883
1472	149979 237086 14537	211804	122459	80392	False	0.7887
1493	227940 179195	180993	217138	106407	False	0.5751
103	124824 77538	17783	219592	237186	False	0.7257
425	173302 163314	79253	47839	190121	False	0.4973
1595	236810 75996 78678 236077 194339 235529	237315	3144	97411	False	0.7179
1872	177658 1344 118621	170937	204840	19912	False	0.8228
1560	7066 210156	143187	146520	34119	False	0.8613
606	120615 60538	126507	168997	168037	False	0.6713
767	193952 200878 135950 32455	237254	20417	237616	False	0.5294
506	236848 101622 86324 236847	151149	102583	236895	False	0.7561
118	2179 236691	236426	204128	237523	False	0.7563
394	233837 167479 109287	230651	195649	221860	False	0.7100
